IPK;Sertifikasi;Sertifikasi Professional;Prestasi Nasional;Lomba/Kompetisi Top 3 Nasional;Prestasi Internasional;Lomba/Kompetisi Top 3 Internasional;Intern/Magang;Volunteer/Kepanitiaan;Beasiswa yang didapatkan;Tipe Beasiswa
3.7;3;0;0;0;0;0;5;22;Djarum;1
3.83;0;0;2;3;0;0;3;14;Djarum;1
3.88;2;0;2;2;1;3;0;25;Djarum;1
3.69;0;0;2;1;1;2;0;31;Djarum;1
3.8;0;0;2;1;0;0;12;26;BSI;2
3.82;2;0;0;0;0;0;0;36;BI;6
3.74;9;0;5;10;3;1;7;11;Beasiswa Unggulan;1
3.95;0;0;0;0;0;0;17;11;BI;6
3.78;2;2;5;3;0;0;23;22;Beasiswa Unggulan;1
3.53;11;0;1;0;0;0;4;29;BI;6
3.9;11;2;0;0;0;0;11;24;BI;6
3.74;1;2;2;3;0;0;9;20;Beasiswa Unggulan;1
3.62;13;0;1;0;0;0;9;31;Beasiswa Unggulan;1
3.89;14;0;2;4;0;0;9;36;BI;6
3.69;4;1;1;1;0;0;5;34;BI;6
3.9;2;3;0;0;0;0;16;16;KSE;4
3.87;0;0;0;0;0;0;12;26;KSE;4
3.73;2;0;0;0;0;0;2;16;KSE;4
3.85;0;0;2;1;0;0;20;8;KSE;4
3.8;6;0;0;2;0;0;12;21;KSE;4
3.78;0;0;0;0;0;0;7;12;KSE;4
3.8;3;1;0;0;0;0;2;7;KSE;4
3.74;2;0;5;1;0;0;11;1;Beasiswa Unggulan;1
3.91;0;0;0;0;0;0;21;0;CIMB Niaga;1
3.8;32;0;0;0;1;0;7;25;CIMB Niaga;1
3.83;0;0;0;0;0;0;7;12;CIMB Niaga;1
3.76;0;0;0;0;0;0;3;11;CIMB Niaga;1
3.84;0;0;0;0;0;0;2;30;CIMB Niaga;1
3.87;1;0;0;0;3;5;0;25;CIMB Niaga;1
3.91;0;0;3;1;0;0;5;13;Pertamina Sobat Bumi;1
3.88;3;0;3;0;2;0;8;11;BI;6
3.88;1;0;0;0;0;0;11;11;Pertamina Sobat Bumi;1
3.83;0;1;2;1;0;0;12;20;Pertamina Sobat Bumi;1
3.77;0;0;0;0;0;0;11;16;Pertamina Sobat Bumi;1
3.86;3;4;0;0;0;0;2;24;Tanoto Foundation;1
3.81;0;1;4;3;0;0;14;26;BSI;2
3.67;0;0;0;0;0;0;0;26;BSI;2
3.66;0;;1;0;0;0;0;53;BSI;2
3.68;0;0;0;0;0;0;0;16;BSI;2
3.9;1;0;0;0;0;0;7;14;BSI;2
3.6;0;1;0;0;0;0;0;26;BSI;2
3.78;0;0;0;0;0;0;43;20;Baznas;1
3.93;0;0;0;0;0;0;2;33;Baznas;1
3.72;0;0;0;0;0;0;21;28;Baznas;1
3.91;0;1;3;1;0;0;2;55;Baznas;1
3.48;0;1;0;0;0;0;27;55;BI;6
3.78;3;0;2;0;1;0;10;67;Beasiswa Unggulan;1
3.9;3;1;0;0;0;0;2;26;BRI;1
3.8;0;0;1;0;0;1;7;4;BI;6
3.79;0;0;3;0;0;0;0;17;BRI;1
3.89;0;0;0;0;0;0;8;22;BRI;1
3.78;8;1;1;0;0;0;6;11;BRI;1
3.65;1;0;0;0;0;0;8;15;BRI;1
3.8;3;0;1;3;0;0;0;6;DataPrint;1
3.68;2;0;0;0;0;0;2;4;DataPrint;1
3.52;0;4;0;0;0;0;0;37;DataPrint;1
3.88;1;0;3;2;1;0;17;27;DataPrint;1
3.8;0;0;5;5;4;3;0;55;DataPrint;1
3.37;2;0;12;9;1;0;29;55;DataPrint;1
3.87;2;0;0;0;0;0;1;11;Bakti BCA;1
3.58;0;0;2;1;0;0;20;14;Bakti BCA;1
3.78;0;0;0;0;0;0;0;62;Bakti BCA;1
3.77;0;0;0;0;0;0;6;12;Bakti BCA;1
3.8;0;0;0;0;0;0;5;22;Bakti BCA;1
3.86;0;0;0;0;0;0;3;18;Bakti BCA;1
3.7;1;14;1;1;0;0;16;66;Bakti BCA;1
3.46;1;1;1;0;0;0;5;15;KJMU;5
3.56;1;2;2;3;0;0;8;8;KJMU;5
3.47;1;1;1;0;0;0;6;7;KJMU;5
3.78;2;1;3;3;0;0;4;4;Bakti Nusa;6
3.83;1;1;4;3;0;0;4;6;Bakti Nusa;6
3.7;2;1;1;1;0;0;10;17;MPM Berbagi;6
3.68;1;0;17;4;0;0;0;18;MPM Berbagi;6
3.8;0;0;2;1;0;0;16;17;BI;6
3.7;0;1;20;19;0;0;5;17;BI;6
3.8;2;1;0;0;0;0;4;8;BI;6
3.7;2;0;0;0;0;0;13;18;BI;6
3.8;0;2;4;3;0;0;0;17;Beasiswa Unggulan;1
3.88;2;0;11;7;3;3;0;19;Beasiswa Unggulan;1
3.6;0;1;9;9;1;1;8;18;Beasiswa Unggulan;1
3.78;0;1;0;0;0;0;16;18;Beasiswa Unggulan;1
3.88;0;2;0;0;0;0;0;17;Beasiswa Unggulan;1
3.77;2;2;0;0;2;0;5;17;Pertamina Sobat Bumi;1
3.89;1;1;16;13;0;0;9;18;Pertamina Sobat Bumi;1
3.78;2;0;4;1;0;0;6;14;Pertamina Sobat Bumi;1
3.58;0;0;0;0;2;2;4;15;Pertamina Sobat Bumi;1
3.8;0;0;1;1;0;0;0;9;Pertamina Sobat Bumi;1
3.82;0;1;0;0;0;0;9;14;Pertamina Sobat Bumi;1
3.65;2;1;1;1;0;0;3;8;BRI;1
3.49;0;2;1;1;0;0;3;19;BRI;1
3.84;2;1;3;1;0;0;7;18;BRI;1
3.84;0;1;1;0;0;0;8;17;BRI;1
3.59;2;0;4;1;0;0;7;8;BRI;1
3.6;0;1;3;3;0;0;0;0;Tanoto Foundation;1
3.55;0;0;2;2;0;0;0;15;Tanoto Foundation;1
3.89;0;0;0;0;0;0;4;18;Tanoto Foundation;1
3.88;0;1;0;0;0;0;5;19;Tanoto Foundation;1
3.67;2;1;2;2;0;0;4;19;Tanoto Foundation;1
3.66;0;2;2;0;0;0;0;14;Tanoto Foundation;1
3.4;0;1;0;0;0;0;4;18;BSI;2
3.79;0;1;0;0;0;0;0;18;BSI;2
3.83;0;2;4;4;0;0;0;17;BSI;2
3.85;0;1;4;2;0;0;0;19;BSI;2
3.3;0;1;0;0;0;0;0;10;BSI;2
3.2;1;1;10;10;0;0;10;13;BSI;2
3.29;2;1;3;1;0;0;6;18;BSI;2
3.39;2;0;0;0;0;0;9;9;XL Future Leader;1
3.91;2;0;5;3;6;2;11;18;XL Future Leader;1
3.48;0;1;1;1;0;0;0;19;XL Future Leader;1
3.74;2;2;4;4;0;0;17;16;XL Future Leader;1
3.33;0;0;0;0;0;0;0;19;XL Future Leader;1
3.37;0;3;0;0;0;0;4;17;XL Future Leader;1
3.29;2;1;2;0;0;0;4;18;XL Future Leader;1
3.42;0;2;0;0;0;0;4;18;Bakti BCA;2
3.47;2;0;20;10;3;3;5;17;Bakti BCA;2
3.71;2;2;0;0;0;0;7;18;Bakti BCA;2
3.54;2;1;2;0;0;0;14;7;Bakti BCA;2
3.35;1;0;0;0;0;0;17;5;Bakti BCA;2
3.8;0;1;0;0;0;0;5;10;Bakti BCA;2
3.76;0;2;0;0;0;0;0;19;BUMN Aperti;5
3.32;0;1;0;0;0;0;0;0;BUMN Aperti;5
3.28;1;0;0;0;0;0;0;0;BUMN Aperti;5
3.49;0;1;2;2;0;0;5;18;XL Future Leader;1
3.58;0;2;5;4;0;0;9;17;BUMN Aperti;5
3.57;0;1;4;2;0;0;0;10;BUMN Aperti;5
3.66;2;1;3;3;0;0;0;12;BUMN Aperti;5
